nome_proposicao,ementa_proposicao,obj_votacao,resumo,data,data_apresentacao_proposicao,autor,indexacao_proposicao,tema,uri_tramitacao,id_proposicao,id_votacao
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",Votação da Redação Final.,"Aprovada a Redação Final assinada pelo Dep. Sergio Souza (MDB-PR), Relator-Revisor da Comissão Mista.",2019-05-29T19:25:44,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-119
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação das expressões: ""porém, em caso de conversão nesses biomas e formas de vegetação para a produção agrícola com cultivos anuais ou perenes, respeitar-se-á o limite de manutenção da reserva legal, previstos na Lei 12.651, de 25 de maio de 2012"", constante da parte final do inciso V, do § 3º do art. 68 da Lei 12.651/2012, com redação dada pelo artigo 1º do PLV 09/2019, oferecido à MPV 867/2018, para fins de sua supressão, objeto do destaque para votação em separado do Bloco PP/MDB/PTB - DTQ 10.",Suprimido o texto. Sim: 21; não: 241; total: 262.,2019-05-29T19:25:13,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-117
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do art. 60-A do PLV apresentado à MP 867/18, com vistas à sua supressão, objeto do destaque para votação em separado da bancada do PCdoB - DTQ 9.",Mantido o texto. Sim: 247; não: 31; abstenção: 3; total: 281.,2019-05-29T19:17:11,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-114
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do §13 do art. 59 da Lei 12651/2012, contido no art. 1º do PLV nº 9/2019, apresentado à MPV 867/18, com vistas à supressão, objeto do destaque para votação em separado da bancada do PSB - DTQ 8.",Mantido o texto. Sim: 223; não: 31; abstenção: 2; total: 256.,2019-05-29T19:03:49,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-111
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do §9º, do art. 59 da Lei 12.651/12, constante do art. 1º do PLV 9/19, para sua supressão, objeto do destaque para votação em separado da bancada do PSOL - DTQ 11.",Mantido o texto. Sim: 249; não: 13; abstenção: 1; total: 263.,2019-05-29T18:54:26,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-108
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do art. 59 da Lei 12651/12, constante do art. 1º do PLV 9/19, apresentado à MP 867/18, com vistas à sua supressão, objeto do destaque para votação em separado da bancada do PT - DTQ 3.",Mantido o texto. Sim: 249; não: 22; abstenção: 2; total: 273.,2019-05-29T18:37:26,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-105
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do art. 42 da Lei 12.651/12, constante do art. 1º do PLV 9/19, apresentado à MP 867/18, com vistas à sua supressão, objeto do destaque para votação em separado da bancada do PT - DTQ 2.",Mantido o texto. Sim: 240; não: 18; abstenção: 1; total: 259.,2019-05-29T18:12:59,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-103
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação, em globo, da admissibilidade dos destaques simples.","Rejeitada a admissibilidade dos destaques simples. Em consequência, ficam prejudicados os referidos destaques. Sim: 9; não: 263; abstenção: 1; total: 273",2019-05-29T18:00:42,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-99
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do inciso III do § 3º do art. 34 da Lei 12651/12, constante do art. 1º do PLV 9/19, apresentado à MP 867/18, com vistas à sua supressão, objeto do destaque para votação em separado da bancada do PT - DTQ 1.",Mantido o texto. Sim: 242; não: 17; abstenção: 1; total: 260.,2019-05-29T18:00:08,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-97
MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",Continuação da votação em turno único.,Rejeitado o Requerimento. Sim: 12; não: 250; abstenção: 2; total: 264.,2019-05-29T17:45:07,27/12/2018," Poder Executivo, Poder Executivo","Alteração, Código Florestal (2012), Cadastro Ambiental Rural (CAR), imóvel rural, prazo, adesão, Programa de Regularização Ambiental (PRA).","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-94
